Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Distance_to_Brussels,Distance_to_Nearest_Airport,total_income,Employment Rate (%),Unemployment Rate (%)
315000,9308,HOUSE,HOUSE,GOOD,3,147.0,0,1.0,0.0,133.0,3.0,0.0,0.0,Aalst,East Flanders,26.06251602589116,32.69899172645424,1990062227.7286022,72.2,5.4
685000,1150,HOUSE,HOUSE,AS_NEW,4,173.0,1,1.0,1.0,290.0,2.0,0.0,0.0,Woluwe-Saint-Pierre,Brussels Capital,6.763860980854028,8.336993173732244,3119975982.09,63.7,12.3
434200,8520,HOUSE,HOUSE,GOOD,3,185.0,0,1.0,0.0,183.0,3.0,0.0,0.0,Kuurne,Other,75.82566378586222,48.488224205607565,913145503.94,72.2,5.4
420000,1910,APARTMENT,DUPLEX,GOOD,3,168.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Kampenhout,Flemish Brabant,18.85707254891644,8.016237427846173,1031084332.45,72.2,5.4
299000,8301,APARTMENT,APARTMENT,GOOD,2,70.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other,91.97469910069988,29.577995499826606,3203281012.67,72.2,5.4
175000,8560,APARTMENT,APARTMENT,GOOD,1,47.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Wevelgem,Other,84.32913925656098,46.08198454390215,2136998574.39,72.2,5.4
355000,1082,APARTMENT,DUPLEX,AS_NEW,3,149.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Berchem-Sainte-Agathe,Brussels Capital,4.358395839790302,13.973591339129868,1358110088.7099998,63.7,12.3
281000,8710,APARTMENT,APARTMENT,GOOD,2,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Wielsbeke,Other,69.97352337595143,48.258217868709785,653135872.32,72.2,5.4
279000,2640,APARTMENT,APARTMENT,GOOD,3,97.0,1,1.0,0.0,0.0,4.0,0.0,1.0,Mortsel,Antwerp,36.867193181983495,1.6415506813235186,1940081113.26,76.2,3.4
279000,8200,APARTMENT,DUPLEX,GOOD,3,139.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brugge,Other,90.9910617861971,21.48014189986049,1754096553.2486956,72.2,5.4
334000,2650,APARTMENT,APARTMENT,JUST_RENOVATED,2,105.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Edegem,Antwerp,34.490926114804786,4.163204103368484,1817373977.15,76.2,3.4
454000,2610,HOUSE,HOUSE,GOOD,3,168.0,0,0.0,0.0,355.0,3.0,0.0,0.0,Antwerpen,Antwerp,35.006598115381614,5.786208084608905,1745305266.5072873,76.2,3.4
